施設名,所在地
阿佐ヶ谷中学校（震災救援所）,東京都杉並区阿佐谷南1丁目17番3号
天沼小学校（震災救援所）,東京都杉並区天沼2丁目46番3号
天沼中学校（震災救援所）,東京都杉並区本天沼3丁目10番20号
井荻小学校（震災救援所）,東京都杉並区善福寺1丁目10番19号
井荻中学校（震災救援所）,東京都杉並区今川2丁目13番24号
井草中学校（震災救援所）,東京都杉並区上井草3丁目20番11号
永福小学校（震災救援所）,東京都杉並区永福2丁目16番33号
大宮小学校（震災救援所）,東京都杉並区堀ノ内1丁目12番16号
大宮中学校（震災救援所）,東京都杉並区堀ノ内1丁目16番38号
荻窪小学校（震災救援所）,東京都杉並区宮前2丁目13番18号
荻窪中学校（震災救援所）,東京都杉並区善福寺1丁目8番3号
旧新泉小学校（震災救援所）,東京都杉並区和泉1丁目44番26号
旧杉並第四小学校（震災救援所）,東京都杉並区高円寺北2丁目14番13号
旧若杉小学校（震災救援所）,東京都杉並区天沼3丁目15番20号
久我山小学校（震災救援所）,東京都杉並区久我山5丁目18番7号
沓掛小学校（震災救援所）,東京都杉並区清水3丁目1番9号
高円寺学園（震災救援所）,東京都杉並区高円寺北1丁目4番11号
高南中学校（震災救援所）,東京都杉並区和田3丁目40番10号
向陽中学校（震災救援所）,東京都杉並区下高井戸3丁目24番1号
三谷小学校（震災救援所）,東京都杉並区上井草3丁目14番12号
四宮小学校（震災救援所）,東京都杉並区上井草2丁目12番26号
松庵小学校（震災救援所）,東京都杉並区松庵2丁目23番24号
松溪中学校（震災救援所）,東京都杉並区荻窪2丁目3番1号
神明中学校（震災救援所）,東京都杉並区南荻窪2丁目37番28号
杉並和泉学園（震災救援所）,東京都杉並区和泉2丁目17番14号
杉並第一小学校（震災救援所）,東京都杉並区阿佐谷北1丁目5番27号
杉並第九小学校（震災救援所）,東京都杉並区本天沼1丁目2番19号
杉並第三小学校（震災救援所）,東京都杉並区高円寺南1丁目15番13号
杉並第七小学校（震災救援所）,東京都杉並区阿佐谷南3丁目19番2号
杉並第十小学校（震災救援所）,東京都杉並区和田3丁目55番49号
杉並第二小学校（震災救援所）,東京都杉並区成田西3丁目4番1号
杉並第六小学校（震災救援所）,東京都杉並区阿佐谷南1丁目24番21号
杉森中学校（震災救援所）,東京都杉並区阿佐谷北5丁目45番24号
済美小学校（震災救援所）,東京都杉並区堀ノ内1丁目17番24号
泉南中学校（震災救援所）,東京都杉並区堀ノ内1丁目3番1号
高井戸小学校（震災救援所）,東京都杉並区高井戸西2丁目2番1号
高井戸第三小学校（震災救援所）,東京都杉並区下高井戸4丁目16番24号
高井戸第四小学校（震災救援所）,東京都杉並区西荻南1丁目8番16号
高井戸第二小学校（震災救援所）,東京都杉並区久我山4丁目49番1号
高井戸中学校（震災救援所）,東京都杉並区高井戸東1丁目28番1号
高井戸東小学校（震災救援所）,東京都杉並区高井戸東1丁目12番1号
中瀬中学校（震災救援所）,東京都杉並区下井草4丁目3番29号
西田小学校（震災救援所）,東京都杉並区荻窪1丁目38番15号
西宮中学校（震災救援所）,東京都杉並区宮前5丁目1番25号
八成小学校（震災救援所）,東京都杉並区井草2丁目25番4号
浜田山小学校（震災救援所）,東京都杉並区浜田山4丁目23番1号
東田小学校（震災救援所）,東京都杉並区成田東1丁目21番1号
東田中学校（震災救援所）,東京都杉並区成田東3丁目19番17号
東原中学校（震災救援所）,東京都杉並区下井草1丁目28番5号
富士見丘小学校（震災救援所）,東京都杉並区久我山2丁目19番1号
富士見丘中学校（震災救援所）,東京都杉並区上高井戸2丁目16番13号
ふらっとすぎはち（震災救援所）,東京都杉並区高円寺南2丁目40番24号
方南小学校（震災救援所）,東京都杉並区方南1丁目52番14号
堀之内小学校（震災救援所）,東京都杉並区堀ノ内3丁目24番11号
松ノ木小学校（震災救援所）,東京都杉並区松ノ木1丁目2番26号
松ノ木中学校（震災救援所）,東京都杉並区松ノ木1丁目4番1号
馬橋小学校（震災救援所）,東京都杉並区高円寺北4丁目28番5号
宮前中学校（震災救援所）,東京都杉並区宮前2丁目12番1号
桃井第一小学校（震災救援所）,東京都杉並区桃井2丁目6番1号
桃井第五小学校（震災救援所）,東京都杉並区下井草4丁目22番4号
桃井第三小学校（震災救援所）,東京都杉並区西荻北2丁目10番7号
桃井第四小学校（震災救援所）,東京都杉並区善福寺3丁目3番5号
桃井第二小学校（震災救援所）,東京都杉並区荻窪5丁目10番25号
和田小学校（震災救援所）,東京都杉並区和田2丁目30番21号
和田中学校（震災救援所）,東京都杉並区和田2丁目21番8号
